中文名,外文名,性别,国籍,出生日期,身高,体重,项目,省份
王珊珊 ,WANG Shanshan,女,中国,1990年1月27日,,,足球,河南
王霜 ,WANG Shuang,女,中国,1995年1月23日,,,足球,湖北
吴迪 ,Wu Di,女,中国,1990年4月,186,72,篮球,天津
王焱 ,Wang Yan,女,中国,1991年8月22日,,,足球,辽宁
王镇 ,Wang  Zhen,男,中国,1991年8月24日,177,63,男子20公里竞走,黑龙江
魏宁 ,Wei Ning,女,中国,1982年8月5日,166,60,射击,山东
王梦雨 ,Wang Mengyu,女,中国,1992年5月25日,170,70,曲棍球,江苏
王智伟 ,Wang Zhiwei,男,中国,1988年7月18日,178,75,射击,山西
吴敏霞 ,Wu Minxia,女,中国,1985年11月10日,167,53,跳水,上海市
王铁鑫 ,Wang Tiexin,男,中国,1989年2月24日,188,75,赛艇,浙江省
吴宇航 ,Wu Yuhang,男,中国,1997年,,,游泳,浙江
吴琼 ,Wu Qiong,女,中国,1989年4月,,,曲棍球,甘肃
汪顺 ,Wang Shun,男,中国,1994年2月11日,192,74,游泳,浙江
王哲林 ,Wang Zhelin,男,中国,1994年1月20日,214,110,篮球,福建
王峥 ,Wang zheng,女,中国,1987年12月14日,174,87,女子链球,陕西
王爱忱 ,Wang Aichen,男,中国,1985年3月28日,185,70,帆船,辽宁省
王杰 ,Wang Jie,女,中国,,,,赛艇,河南
王晓丽 ,Wang Xiaoli,女,中国,1982年5月12日,169,70,帆船,山东省
王纯鑫 ,Wang Chunxin,男,中国,,,,赛艇,辽宁
王歆艳 ,Wang Xinyan,女,中国,1991年4月26日,181,73,水球,上海
王路敏 ,Wang Lumin,男,中国,,,,摔跤,山西
王施佳 ,Wang Shijia,女,中国,1993年8月25日,173,62,游泳,辽宁
吴阿顺 ,Wu Ashun,男,中国,1985年6月22日,,,高尔夫,福建
谢拉-卡斯特罗 ,Sheilla Castro,女,巴西,1983年7月1日,185,64,排球,
王红 ,Wang Hong,女,中国,1997年,,,自行车,河南商丘
徐晓龙 ,Xu Xiaolong,男,中国,1992年12月20日,188,70,田径,重庆
许昕 ,Xu Xin,男,中国,1990年1月8日,180,67,乒乓球,上海
王祯 ,Wang Zhen,男,中国,1989年6月,,,自行车,甘肃会宁
夏洛特·迪雅尔丹 ,Charlotte Susan J. Dujardin,女,英国,1985年7月13日,170,61,马术,英国
熊敦瀚 ,Xiong Dunhan,女,中国,,,,水球,湖南
魏秋月 ,Wei Qiuyue,女,中国,1988年9月26日,183,75,排球,天津
向艳梅 ,Xiang Yanmei,女,中国,,,,举重,湖南
徐莉佳 ,Xu Lijia,女,中国,1987年8月30日,176,60,帆船,上海市
王仪涵 ,Wang YI Han,女,中国,1988年1月18日,178,65,羽毛球,上海
肖娜·索伯恩 ,Shona Thorburn,女,加拿大,1982年8月7日,178,64,篮球,
邢宇 ,Xing Yu,男,中国,1991年3月12日,188,77,射箭,北京
维斯尼娜 ,Elena Sergeevna Vesnina,女,俄罗斯,1986年8月1日,176,70,网球,
谢震业 ,Xie Zhenye,男,中国,1993年8月17日,183,76,田径,浙江
西蒙妮·奥古斯图斯 ,Seimone Augustus,女,美国,1984年4月30日,183,81,篮球,
王大鹏 ,Wang Dapeng,男,中国,,,,射箭,
徐臧军 ,Xu Cang Jun,男,中国,,,,帆船,浙江
希尔维亚·福尔斯 ,Sylvia Fowles,女,美国,1985年10月6日,198,90,篮球,
王日炜 ,Wang Riwei,男,中国,1993年,,,皮划艇静水,广州
薛娇 ,XUE Jiao,女,中国,1993年1月30日,,,足球,辽宁
辛鑫 ,Xin Xin,女,中国,1996年11月6日,175,58,游泳,山东
吴佳欣 ,Wu Jiaxin,女,中国,,,,射箭,
许安琪 ,Xu Anqi,女,中国,1992年1月23日,183,75,击剑,江苏
徐蕊 ,Xu Rui,女,中国,,,,摔跤,北京
王嘉男 ,Wang Jianan,男,中国,1988年2月16日,185,70,田径,辽宁
徐嘉余 ,Xu Jiayu,男,中国,1995年8月19日,184,,游泳,浙江
小威廉姆斯 ,Serena Williams,女,美国,1981年9月26日,178,70,网球,
徐孝元 ,SUH Hyowon,女,韩国,1987年5月10日,160,53,乒乓球,
于颂 ,Yu Song,女,中国,1987年,,,柔道,山东青岛
尹军花 ,Yin Junhua,女,中国,1990年,,,拳击,河北
徐云丽 ,Xu Yunli,女,中国,1987年8月2日,197,86,排球,福建
杨俊霞 ,Yang Jun Xia,女,中国,,,,柔道,山东
徐超 ,Xu Chao,男,中国,,,,自行车,上海
于伟 ,Yu Wei,男,中国,1987年9月11日,180,62,田径,山东
薛超华 ,Xue Chaohua,男,中国,1992年,,,自行车,北京
袁琦琦 ,YUAN Qiqi,女,中国,1995年10月26日,165,50,女子短跑,江苏
徐晨 ,Xu Chen,男,中国,1984年11月19日,186,80,羽毛球,江苏
岳超 ,YUE Chao,女,中国,1991年1月5日,165,55,女子马拉松,江苏
西蒙·拜尔斯 ,Simone Biles,女,美国,1997年3月14日,145,,竞技体操,
杨洋 ,Yang Yang,男,中国,1991年6月26日,183,75,乒乓球,山东
肖棣 ,Xiao Di,男,中国,,,,摔跤,
亚历山大·马里奇 ,Alexander Maric,男,澳大利亚,,,,篮球,
谢文骏 ,Xie Wenjun,男,中国,1990年7月11日,190,85,田径,上海市
杨曼 ,YANG Man,女,中国,1995年11月2日,,,足球,山东
薛长锐 ,Xue Changrui,男,中国,1991年5月31日,188,75,田径,山东
杨丽 ,YANG Li,女,中国,1991年1月31日,,,足球,江苏
于梦雨 ,Yu Mengyu,女,新加坡,1989年8月18日,,,乒乓球,
尹成昕 ,Yin Chengxin,女,中国,1995年2月5日,168,58,花样游泳,湖北
杨珺 ,Yang Jun,女,中国,1988年4月28日,180,69,女子水球,北京
姚平 ,Yao Ping,女,中国,,,,自行车,山东
于静瑶 ,Yu Jingyao,女,中国,1999年2月13日,,,游泳,北京
伊万·加西亚 ,Iván García,男,墨西哥,1993年10月25日,165,55,跳水,
颜妮 ,Yan Ni,女,中国,1989年3月2日,192,72,排球,辽宁
尤塞恩-博尔特 ,Usain Bolt,男,牙买加,1986年8月21日,196,86,田径,
亚瑟明·达尔加拉尔 ,Yasemin Dalgalar,女,土耳其,1988年6月8日,183,70,篮球,
雅尼克-阿格内尔 ,Yannick Agnel,男,法国,1992年6月9日,202,90,游泳,
余成刚 ,Yu Chenggang ,男,中国,1984年2月23日,181,70,赛艇,四川省
余贺新 ,Yu Hexin,男,中国,1996年1月1日,,,游泳,广东
叶卡捷琳娜·马卡洛娃 ,Ekaterina Makarova ,女,俄罗斯,1988年6月7日,183,71,网球,
杨哲 ,Yang Zhe,男,中国:,1991年7月14日,180,,举重,山东
闫子贝 ,Yan Zibei,男,中国,1995年10月,,,游泳,湖北
于洋 ,Yu Yang,女,中国,1986年4月7日,166,56,羽毛球,辽宁
伊拉·玛利亚麻·迪亚拉 ,Elea Mariama Diarra,女,田径,1990年3月8日,175,56,田径,
杨晔 ,Yang Ye,女,中国,,,,艺术体操,辽宁
亚德里安娜·平托 ,Adriana Pinto,女,巴西,1978年12月6日,170,62,篮球,
易思玲 ,YI Siling,女,中国,1989年5月6日,165,51,射击,湖南
叶诗文 ,Ye Shiwen,女,中国,1996年3月1日,172,64,游泳,浙江
叶尔兰别克-卡泰 ,Ye Er Lan Bie Ke Ka Tai,男,中国,,,66,摔跤,甘肃
尤浩 ,You Hao,男,中国,1992年4月26日,,,体操,江苏
伊萨贝尔·雅稠堡 ,Isabelle Yacoubou,女,法国,,190,,篮球,
伊斯安妮·马奎斯 ,Iziane Marques,女,巴西,1982年3月13日,182,71,篮球,
易建联 ,Yi Jianlian,男,中国,1987年10月27日,213,113,篮球,广东
杨斌 ,Yang Bin,男,中国,,,,摔跤,
尤纳斯·瓦兰修纳斯 ,Jonas Valanciunas,男,立陶宛,1992年5月6日,213,111,篮球,
伊斯尔·阿尔本 ,Isil Alben,女,土耳其,1986年2月22日,170,60,篮球,
伊藤美诚 ,Mima Ito,女,日本,2000年10月21日,,,乒乓球,
周一涵 ,Zhou Yihan,女,新加坡,,,,乒乓球,
赵明刚 ,Zhao Minggang,男,中国,,,,拳击,河北
张灵 ,Zhang Ling,女,中国,,,,赛艇,上海
张继科 ,Zhang Jike,男,中国,1988年2月16日,181,70,乒乓球,山东
周羿霖 ,Zhou Yilin,女,中国,,,,游泳,河北
朱仁学 ,Zhu Renxue,男,中国,1991年4月6日,181,70,田径,云南
周敏 ,Zhou Min,女,中国,1997年12月,,,游泳,上海
张成龙 ,Zhang Chenglong,男,中国,1989年5月12日,173,65,体操,山东省
朱梦惠 ,Zhu Menghui,女,中国,1999年,,,游泳,浙江
张晓楠 ,Zhang Xiaonan,女,中国,,,,现代五项,辽宁
赵丽娜 ,ZHAO Lina,女,中国,1991年9月18日,,,足球,上海
张航 ,Zhang Hang,男,中国,1991年10月28日,180,70,田径,云南
张箫雪 ,Zhang Xiaoxue,女,中国,,,,曲棍球,辽宁
郑荣植 ,JEOUNG Youngsik,男,韩国,1992年1月20日,182,65,乒乓球,
张越 ,ZHANG Yue,女,中国,1990年9月30日,,,足球,天津
朱世赫 ,Joo Se-Hyuk,男,韩国,1980年1月20日,180,68,乒乓球,
张馨予 ,Zhang Xinyu,女,中国,,,,游泳,河南
张新艳 ,ZHANG Xinyan,女,中国,1994年2月9日,164,48,女子中长跑,甘肃
张雨霏 ,Zhang Yufei,女,中国,1998年4月,,,游泳,江苏
张馨月 ,Zhang Xiyue,女,中国,,,,赛艇,山东
张雨涵 ,Zhang Yuhan,女,中国,1995年,,,游泳,湖北
赵容 ,ZHAO Rong,女,中国,1993年9月27日,,,足球,北京
周鹏 ,Zhou Peng,男,中国,1989年10月11日,206,90,篮球,辽宁
赵景滨 ,Zhao Jingbin,男,中国,,,,赛艇,山东
周玉 ,Zhou Yu,女,中国,1989年1月23日,174,68,皮划艇静水,湖南
张文秀 ,Zhang Wenxiu,女,中国,1986年3月22日,182,113,女子链球,辽宁
周凤 ,Zhou Feng,女,中国,,,,摔跤,江西
张金荣 ,Zhang Jinrong,女,中国,1997年3月24日,,,曲棍球,吉林
张潀 ,Zhang Cong,女,中国,1990年5月3日,176,65,水球,天津
赵宝芳 ,Zhao Baofang,女,中国,,,,自行车,河南
张睿 ,ZHANG Rui,女,中国,1989年1月17日,,,足球,山东
张贤秀 ,Jang hyun soo,男,韩国,1991年9月28日,187,77,男子足球,
钟天使 ,Zhong Tianshi,女,中国,1991年,,,自行车,上海
周琦 ,Zhou Qi,男,中国,1996年1月16日,217,95,篮球,河南新乡
张帅 ,Zhang Shuai,女,中国,1989年1月21日,177,65,网球,天津
赵子涵 ,Zhao Zihan,女,中国,1993年9月4日,173,63,排球,上海
赵玉雕 ,Zhao Yudiao,女,中国,1989年5月25日,174,70,女子曲棍球,辽宁
朱启南 ,Zhu Qinan,男,中国,1984年11月15日,182,67,射击,浙江
张薇薇 ,Zhang Weiwei,女,中国,1990年10月7日,183,64,女子水球,辽宁
詹姆斯·盖伊 ,James Guy,男,英国,1995年11月26日,187,83,游泳,
祖立军 ,Zu Lijun,男,中国,1989年11月26日,185,,游泳,江苏
张国伟 ,Zhang Guowei,男,中国,1991年6月4日,200,77,男子跳高,山东
张伯伦·奥古奇 ,Chamberlain Oguchi,男,尼日利亚,1986年4月28日,198,91,篮球,
张麒斌 ,Zhang Qibin,男,中国,1994年6月,,,游泳,山东
赵志芳 ,Zhao Zhi Fang,女,中国,1994年8月11日,168,,篮球,
张楠 ,Zhang Nan,男,中国,1990年3月1日,183,75,羽毛球,北京
朱韦伟 ,Zhu Weiwei ,女,中国,1990年5月22日,180,72,赛艇,江苏省
张培萌 ,Zhang Peimeng,男,中国,1987年3月13日,186,86,田径,北京
赵芸蕾 ,Zhao Yunlei,女,中国,1986年8月25日,173,62,羽毛球,湖北
赵敬楠 ,Zhao Jingnan,女,中国,1995年3月7日,,,艺术体操,辽宁
张玲 ,Zhang Lin,女,中国,1992年9月18日,,,艺术体操,浙江
张凤柳 ,Zhang Feng Liu,女,中国,1989年11月15日,,,摔跤,辽宁
钟雪纯 ,Zhong Xue Chun,女,中国,1994年,,,摔跤,广西壮族自治区
张敏 ,Zhang Min,女,中国,1991,,,帆船,山东济南
周琦 ,Zhou Qi,男,中国,1996年1月16日,217,95,篮球,河南新乡
翟晓川 ,Zhai Xiaochuan,男,中国,1993年3月24日,204,100,篮球,河北唐山
张浙慧 ,Zhang Zhehui,女,中国,1988年,,78,柔道,江苏
赵继伟 ,Zhao Jiwei,男,中国,1995年8月25日,185,77,篮球,辽宁海城
邹雨宸 ,Zou yuchen,男,中国,1996年7月5日,208,108,篮球,辽宁大连
